Computer_Idn,SystemPerformance_Idn,MemScore,CPUScore,GraphicsScore,GamingScore,DiskScore
5017,4262,7.4,7,5.3,6.6,7.9
5035,4294,8.7,8.7,5,9.9,8.15
5041,4328,8.8,8.8,6.5,9.9,8.85
5053,4637,9.1,9.1,6.2,9.9,7.85
5056,4273,8.4,8.4,8.4,9.9,9.1
5065,4568,9.1,9.1,8.1,9.9,8.1
5082,5187,9.1,9.1,8,9.9,8.7
5086,4333,8.7,8.7,5.4,9.9,8.2
5102,4551,8.7,8.7,6.9,9.9,8.15
5111,4377,9.1,9.1,8,9.9,8.8
5123,4368,9.1,9.1,7.7,9.9,8.05
5125,4388,8.7,8.7,5.3,9.9,5.9
5137,4365,8.8,8.8,6.8,9.9,8.15
5141,4370,7.3,7.3,4.8,9.9,8.15
5143,4385,9.1,9.1,8.2,9.9,8.15
5145,4351,8,7.7,6.8,9.9,9.2
5153,4655,8.9,8.9,5.3,9.9,8.85
5155,4396,8.8,8.8,6.9,9.9,8.55
5158,4395,8.8,8.8,5.2,9.9,9.1
5160,4366,5.9,7.4,5.2,9.9,5.9
5162,4734,8.9,8.9,5.1,9.9,8.95
5167,4454,8.7,8.7,5.3,9.9,8.2
5170,4397,5.9,8.7,4.7,9.9,8.15
5175,4582,9.1,9.1,6.2,9.9,9.15
5185,4424,8.7,8.7,5.8,9.9,8.15
5193,4437,9.2,9.2,5.4,9.9,8.2
5194,4417,9.2,9.2,5.4,9.9,8.2
5203,4754,9.1,9.1,8.1,9.9,8.15
5207,4617,8.7,8.7,5.9,9.9,8.2
5213,4448,8.8,8.8,5.2,9.9,9
5226,4457,8.7,8.7,4.5,9.9,7.75
5227,4443,9.1,9.1,8.1,9.9,8.75
5232,4498,8.7,8.7,5.1,9.9,8.2
5234,4463,8.7,8.7,6.4,9.9,8.4
5236,4548,9.1,9.1,8,9.9,8.75
5242,4709,8.8,8.8,6.9,9.9,8.2
5249,4440,7.3,7.3,4.2,9.9,8.15
