Computer_Idn,SystemFailures_Idn,LastDate,Count30Day,Count90Day
1306,2868,2018-07-12 11:25:18.000,0,2
1356,3066,2018-08-20 08:23:40.000,2,2
1374,2925,2018-07-24 05:02:46.000,1,1
1377,3057,2018-08-19 23:55:40.000,1,1
1404,2571,2018-05-09 08:34:06.000,0,0
1417,703,2017-08-04 10:06:58.000,0,0
1437,2384,2017-09-12 12:03:48.000,0,0
1467,2032,2018-02-03 09:49:42.000,0,0
1487,1585,2018-08-09 00:27:10.000,1,1
1567,1840,2018-07-27 09:17:20.000,1,1
1616,957,2018-06-03 14:07:54.000,0,1
1631,2946,2018-07-26 09:22:42.000,4,4
1639,785,2018-07-09 01:31:56.000,0,3
1644,656,2017-03-24 15:08:12.000,0,0
1669,3068,2018-08-20 03:49:52.000,1,1
1699,2574,2018-08-16 10:52:00.000,1,3
1700,1446,2017-07-10 09:09:20.000,0,0
1707,694,2013-10-31 11:16:12.000,0,0
1723,2613,2018-06-11 08:11:26.000,0,1
1757,761,2018-08-06 01:24:20.000,1,1
1759,2861,2018-07-11 03:44:34.000,0,1
1795,1598,2017-07-28 06:09:50.000,0,0
1809,1221,2018-08-06 07:19:56.000,1,1
1836,846,2018-06-26 05:16:18.000,0,1
1837,964,2018-08-14 01:05:04.000,1,2
1910,1940,2018-07-05 18:53:16.000,0,4
1931,2502,2017-08-31 15:34:34.000,0,0
1936,1883,2017-10-10 22:04:42.000,0,0
1951,815,2018-04-13 03:11:54.000,0,0
1952,1173,2018-03-27 22:00:08.000,0,0
1953,817,2016-09-25 19:04:50.000,0,0
1958,2118,2017-12-17 05:01:44.000,0,0
1985,3050,2018-08-17 10:16:34.000,1,1
2012,1915,2017-12-17 21:26:14.000,0,0
2021,1892,2018-03-08 19:25:46.000,0,0
2043,2218,2018-05-13 23:59:14.000,0,0
2046,1567,2018-07-16 15:10:06.000,0,1
2047,2249,2018-04-15 11:05:20.000,0,0
2069,906,2018-08-15 15:32:32.000,5,22
2078,872,2017-09-28 21:02:32.000,0,0
2265,1913,2018-04-16 02:11:46.000,0,0
2280,973,2017-04-15 00:22:34.000,0,0
2309,998,2018-05-24 10:22:40.000,0,1
2318,3061,2018-08-20 08:45:34.000,1,1
2334,2831,2018-07-04 02:33:54.000,0,1
2336,1075,2018-05-13 19:16:28.000,0,0
2340,1120,2018-07-08 19:46:14.000,0,1
2371,1672,2017-08-23 17:53:02.000,0,0
2378,1034,2016-01-28 09:52:20.000,0,0
2384,1639,2017-08-20 07:16:16.000,0,0
