Computer_Idn,Type,MhzSpeed,ProcCount,Stepping,ID,Vendor,SLSignature,Model,ProcIndex,ProcType,ProcFamily,ProcVersion,MaxSpeed,CurrSpeed,ProcUpgrade,FRUGrpIndex,OPGrpIndex,ProcSerialNum,OverdriveUpgrade,VirtModeExt,PageSizeExt,TimeStampCnt,ModelRegisters,PhysAddrExt,MachChkExcept,CMPXCHG8BInstSppt,APIC,MemoryTypeRangeReg,PageGlobalEnable,MachineCheckArch,CondMoveInstr,MMX,HyperThreading,GlobalPageEnable,LeaseExp,ProcCnt,Speed,FeatureID,FeatureStepping,DHCPServ,Architecture,ProcLevel,Revision,AllocGran,ProcessorPhysicalCount,ExternalClockSpeed,CoresPerPkg,EM64T,ExecDisable,CacheSize,TotalCores
5878,Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,2300,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2300 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5881,Intel(R) Xeon(R) CPU E3-1505M v5 @ 2.80GHz,2800,1,3H,06E3H,GenuineIntel,329443,E,NULL,NULL,NULL,NULL,2833,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,4,Yes,Yes,NULL,NULL
5887,Intel Core i7,3100,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
5888,Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,2300,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2300,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5889,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,2904,1,9H,06E9H,GenuineIntel,526057,E,NULL,NULL,NULL,NULL,2933,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5892,Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz,2700,1,1H,0651H,GenuineIntel,263761,5,NULL,NULL,NULL,NULL,2100 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5898,Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,2904,1,9H,06E9H,GenuineIntel,526057,E,NULL,NULL,NULL,NULL,2933,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5913,Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,2800,1,3H,06E3H,GenuineIntel,263907,E,NULL,NULL,NULL,NULL,2833,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
5920,Intel Core i7,2800,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
5921,Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,2903,1,9H,06E9H,GenuineIntel,526057,E,NULL,NULL,NULL,NULL,2933,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
