Computer_Idn,Manufacturer,Chipset,NumSlots,FRUGrpIndex,OPGrpIndex,MaxCPU,ProductName,MBVersion,SerialNum,BusSpeed,PCISlots,PCISlotsAvail
1931,Hewlett-Packard,NULL,NULL,NULL,NULL,2801,2255,KBC Version 03.12,PENNPF21W9BWGW,1600,1,1
1932,LENOVO,NULL,NULL,NULL,NULL,2794,20EF000NUS,SDK0E50510 WIN,W1KS5C8111D,1600,0,0
1933,LENOVO,NULL,NULL,NULL,NULL,2701,NULL,NULL,NULL,1600,NULL,NULL
1936,LENOVO,NULL,NULL,NULL,NULL,2701,20A7002QUS,SDK0E50510 WIN,W1KS52F1058,1600,0,0
1938,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2129,1.01,NULL,2400,0,0
1943,Hewlett-Packard,NULL,NULL,NULL,NULL,3601,18E4,NULL,JPA44306T2,1600,0,0
1948,Hewlett-Packard,NULL,NULL,NULL,NULL,3601,18E4,NULL,JPA44306T4,1600,0,0
1951,LENOVO,NULL,NULL,NULL,NULL,2594,20BTCTO1WW,SDK0E50510 WIN,W2KS52C109C,1600,0,0
1952,LENOVO,NULL,NULL,NULL,NULL,2594,20CLCTO1WW,SDK0E50510 WIN,L1HF518025Y,1600,0,0
1953,LENOVO,NULL,NULL,NULL,NULL,2594,20BTCTO1WW,SDK0E50510 WIN,W2KS52C109A,1600,0,0
1955,LENOVO,NULL,NULL,NULL,NULL,2400,20FN003LUK,SDK0J40705 WIN,L1HF69201GA,1600,0,0
1958,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.54,PEVDQ00WB8Y1D4,1600,1,1
1985,Microsoft Corporation,NULL,NULL,NULL,NULL,2808,Surface Book,NULL,A84592310114644A,1867,0,0
1990,LENOVO,NULL,NULL,NULL,NULL,2694,20BG0014US,0B98401 WIN,W1KS52C109N,1600,0,0
2011,LENOVO,NULL,NULL,NULL,NULL,2794,20EF000LUS,SDK0E50510 WIN,W1KS57P1182,1600,0,0
2012,Microsoft Corporation,NULL,NULL,NULL,NULL,2808,Surface Book,NULL,A84596312132608A,1867,0,0
2021,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.54,PEVEA00WB8Q0KB,1600,1,1
2025,Microsoft Corporation,NULL,NULL,NULL,NULL,2808,Surface Book,NULL,A84596311294615A,1867,0,0
2030,HP,NULL,NULL,NULL,NULL,2808,80FA,KBC Version 01.72,PFUFQ048J5618P,2133,1,1
2035,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS65D10L6,1867,0,0
2039,LENOVO,NULL,NULL,NULL,NULL,2594,20BS0031US,SDK0E50510 WIN,W1KS63C139J,1600,0,0
2043,Hewlett-Packard,NULL,NULL,NULL,NULL,2701,213E,KBC Version 24.2C,PEAEE3AWR8R03V,1600,1,1
2045,Microsoft Corporation,NULL,NULL,NULL,NULL,2808,Surface Book,NULL,A84597360303649A,1867,0,0
2046,LENOVO,NULL,NULL,NULL,NULL,2712,20EN001EUS,SDK0J40705 WIN,L1HF6B20059,2133,0,0
2047,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,225A,KBC Version 96.5B,PEVDF00WB8L0WD,1600,1,1
2048,HP,NULL,NULL,NULL,NULL,2808,8079,KBC Version 85.77,PFLAA00WB552II,2133,1,1
2056,Hewlett-Packard,NULL,NULL,NULL,NULL,2601,22DA,KBC Version 92.14,PENEU00WB8I05K,1600,1,1
2058,HP,NULL,NULL,NULL,NULL,2808,8079,KBC Version 85.77,PFLAA00WB552UZ,2133,1,1
2061,LENOVO,NULL,NULL,NULL,NULL,2808,20FB002LUS,SDK0J40705 WIN,W1KS74C10KT,1867,0,0
2063,HP,NULL,NULL,NULL,NULL,2496,80FA,KBC Version 01.72,PFUFP048J561GS,2133,1,1
2069,LENOVO,NULL,NULL,NULL,NULL,2712,20ENS10E00,SDK0J40697 WIN,L1HF6BJ00HJ,2133,0,0
2071,HP,NULL,NULL,NULL,NULL,2400,8079,KBC Version 85.61,PBLVD00WB333L8,2133,1,1
2073,LENOVO,NULL,NULL,NULL,NULL,2794,20EF000LUS,SDK0E50510 WIN,W1KS5CA11K2,1600,0,0
2078,LENOVO,NULL,NULL,NULL,NULL,2501,20AWA1E6MY,0B98401 WIN,L1HF48X02K6,1600,0,0
