Computer_Idn,AssetTag,ServiceTag,ExpressServiceCode,SerialNum,Model,ModelNum,Manufacturer,ChassisType,SalesOrderNumber,ManufactureDate,SystemVersion,HasBattery,CmmGuid,CmmSnmpPort,CmmSlimPort,CmmLocation,IPMIVersion,BMCFirmwareVersion,SDRVersion,SDRFile,SDRPackage,SDRTimeStamp,AMTVersion,ChassisName,BoardName,BackplaneVersion,ESMVersion,OpenManageSupport,OpenManageSupportedComponenets,OpenManageAdministratorVersion,AgentlessInstall,FirmwareVersion,PlatformVersion,BootMode,SupportEndDate,WillAutoRenew,ModelNumber
2455,NULL,R90MC89G,2135460993748,R90MC89G,20FB002LUS,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad X1 Carbon 4th,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20FB002LUS,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2457,NULL,R90KY30W,2135458654160,R90KY30W,20FB005WUS,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad X1 Carbon 4th,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20FB005WUS,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2461,NULL,R90F41TF,2135448854835,R90F41TF,20BS0031US,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad X1 Carbon 3rd,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20BS0031US,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2469,NULL,R90M1LSV,2135460498079,R90M1LSV,20FB005WUS,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad X1 Carbon 4th,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20FB005WUS,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2471,5CG5220TVN,5CG5220TVN,542917937099075,5CG5220TVN,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009DC18303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2472,NULL,R90MC7XS,2135460993328,R90MC7XS,20FB002LUS,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad X1 Carbon 4th,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20FB002LUS,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2476,NULL,R90HR5M8,2135453292080,R90HR5M8,20EF001XUK,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad W541,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20EF001XUK,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2480,NULL,R90KY39U,2135458654482,R90KY39U,20FB005WUS,NULL,LENOVO,Notebook,NULL,NULL,ThinkPad X1 Carbon 4th,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20FB005WUS,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2483,5CG5388KGP,5CG5388KGP,542918008003993,5CG5388KGP,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2484,5CG6414VTZ,5CG6414VTZ,542920233323303,5CG6414VTZ,HP ZBook 15u G3,NULL,HP,Notebook,NULL,NULL,KBC Version 85.76,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP ZBook 15u G3,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
